"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Big data research in climate science","T. V. Radhika; K. C. Gouda; S. S. Kumar","Department of Information Science & Engineering, Dayananda Sagar College of Engineering, Bangalore, India; CSIR Centre for Mathematical Modeling and Computer Simulation.(C-MMACS), Wind Tunnel Road, Bangalore, India; Department of Computer Science & Engineering, RNS Institute of Technology, Bangalore, India","2016 International Conference on Communication and Electronics Systems (ICCES)","30 Mar 2017","2016","","","1","6","Currently climate research is most priority area as climate change generally affects the society as a whole. So there is requirement to study the weather and climate variability at very high resolution in multiple spatial and temporal scales. Presently climate data are huge in size as more data are being generated compared to past. Also sophisticated models are being used for prediction of weather and climate variability, generating vast amount of multidimensional digital data. As such climate data is considered to be big data which is multi-dimensional, multi-approach and multisource. So the demand of high performance computing and cloud computing is being increased to do the climate research. This paper gives an outline of a few strategies in supporting big data administration and investigation in geoscience domain for climate studies. By analyzing contemporary information technologies and approaches, it can confirm what operational program framework and approaches are at hand and pertinent in developing big data-driven climate research. A transitory overview of HBase for storing and managing notable geoscience data across distributed machinery is highlighted. Withal MapReduce-predicated techniques to fortify parallel access of massive NetCDF data are considered. The outcomes can recognize basic issues and enhances the proficiency of dissecting huge geoscience information by lessening information preparing time.","","978-1-5090-1066-0","10.1109/CESYS.2016.7889855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889855","HBase;MapReduce;NetCDF;Multidimensional;Temporal Scale","Meteorology;Big Data;Geospatial analysis;Data integration;Crowdsourcing;Cloud computing","Big Data;climatology;cloud computing;geophysics computing","Big data research;climate science;climate research;climate variability;multiple spatial;temporal scales;climate data;multidimensional digital data;high performance computing;cloud computing;Big data administration;geoscience domain;information technologies;operational program framework;distributed machinery;geoscience information","","3","","22","","30 Mar 2017","","","IEEE","IEEE Conferences"
"Big spatial data processing with Apache Spark","B. Shangguan; P. Yue; Z. Wu; L. Jiang","School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University","2017 6th International Conference on Agro-Geoinformatics","21 Sep 2017","2017","","","1","4","Big data technologies have shown great promise for managing geospatial data in recent years. In order to deal with the growing spatial data, a high performance spatial data processing system layered on big data technologies is needed. In this paper, we present an approach to process big spatial data with Apache Spark, a fast and generic engine for large-scale data processing. We developed a software development kit named SparkSpatialSDK, which takes spatial characteristics of geospatial data into consideration and provides a Spark-enabled spatial data structure and API to allow users easily perform spatial analyses with big spatial data. The spatial data structure couples geometric data structure (point, line, and polygon) with Resilient Distributed Datasets (RDD). An interface, called SpatialRDD, is provided to access big spatial data stored in distributed database systems like HBase and load the data in Spark processing engine. We illustrates the applications of the API using some example processing functions such as the spatial range and spatial k-nearest neighbor queries. The results demonstrate the applicability of using SparkSpatialSDK for big geospatial data processing.","","978-1-5386-3884-2","10.1109/Agro-Geoinformatics.2017.8047039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8047039","Big Spatial Data;Apache Spark;SpatialRDD;SparkSpatialSDK","Spatial databases;Sparks;Distributed databases;Geospatial analysis;Data processing;Software;Spatial indexes","application program interfaces;Big Data;distributed databases;query processing;software engineering;spatial data structures","big spatial data processing;apache spark;big data technologies;high performance spatial data processing system;large-scale data processing;spatial characteristics;Spark processing engine;spatial range;spatial k-nearest neighbor queries;big geospatial data processing;spatial data structure;geometric data structure;SpatialRDD;API;SparkSpatialSDK;resilient distributed datasets;RDD;distributed database systems;HBase;software development kit","","3","","17","","21 Sep 2017","","","IEEE","IEEE Conferences"
"Federating Web-Based Applications on a Hierarchical Cloud","D. Han; E. Stroulia","Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada; Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada","2014 IEEE 7th International Conference on Cloud Computing","4 Dec 2014","2014","","","946","947","Cloud-based infrastructures enable applications to collect and analyze massive amounts of data. Sometimes these applications are the product of green-field engineering, but frequently they are the product of the evolution of traditional RDBMS-based implementations. In any case, NoSQL databases, endowed with high availability, elasticity and scalability through their easy deployment on cloud-computing platforms, have become an attractive data-storage solution for these big-data applications. Unfortunately, to date, there is little methodological and tool support for migrating existing applications to these new platforms. In this paper, we describe a hybrid architecture for location-aware applications on hierarchical cloud, a methodology for mapping relational (including spatio-temporal) data to HBase, and a process for migrating legacy applications to the new architecture.","2159-6190","978-1-4799-5063-8","10.1109/CLOUD.2014.136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973842","Data Aggregation;Data Migration;Hierarchical Cloud;Geospatial Applications;Hadoop;Sqoop;Oozie","Computer architecture;Servers;Data warehouses;Aggregates;Cloud computing;Availability;Scalability","Big Data;cloud computing;database management systems;mobile computing","Web-based applications;hybrid architecture;location-aware applications;hierarchical cloud;relational data mapping;HBase;legacy applications migration process;data migration;NoSQL database;big-data","","4","","3","","4 Dec 2014","","","IEEE","IEEE Conferences"
"Toward Efficient Processing of Spatio-Temporal Workloads in a Distributed In-Memory System","P. Memarzia; M. Patrou; M. M. Alam; S. Ray; V. C. Bhavsar; K. B. Kent","University of New Brunswick, Canada; University of New Brunswick, Canada; University of New Brunswick, Canada; University of New Brunswick, Canada; University of New Brunswick, Canada; University of New Brunswick","2019 20th IEEE International Conference on Mobile Data Management (MDM)","8 Aug 2019","2019","","","118","127","Location-based services (LBS) are a widely adopted technology that produces large volumes of spatio-temporal data at high velocity. Spatial data is also being generated from many other geo-spatial applications. To address the challenge of data volume, a number of big spatial data management systems have emerged that are based on the MapReduce paradigm. Recent projects have developed spatial data systems using Spark's distributed in-memory architecture. These projects, which include GeoSpark, SpatialSpark, and LocationSpark, do not support the high update rates required by LBS applications. Alternatively, systems such as MD-HBase support data updates, but are hindered by the performance characteristics of HBase, which is a disk-oriented framework. We present DISTIL+, a distributed spatio-temporal data processing system designed for high velocity location data. Our system achieves high update throughput and low query latency by leveraging the APGAS (Asynchronous Partitioned Global Address Space) architecture to build a multi-level distributed in-memory index. We present extensive experimental evaluation of our system, comparing several indexing and data placement schemes, as well as competing systems. Our results show that DISTIL+ excels at supporting high throughput location updates, and low latency spatio-temporal range queries and kNN queries, while offering better performance than existing approaches.","2375-0324","978-1-7281-3363-8","10.1109/MDM.2019.00-66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8788808","spatio-temporal;LBS;APGAS;distributed in memory index","Distributed databases;Indexes;Spatial databases;Throughput;Data systems;Computer architecture;Sparks","data handling;geographic information systems;location based services;parallel processing;query processing","location-based services;LBS applications;APGAS architecture;Asynchronous Partitioned Global Address Space;in-memory index;distributed in-memory system;geospatial applications;spatiotemporal workloads processing;spatial data management systems;MapReduce paradigm;Spark distributed in-memory architecture;DISTIL+;distributed spatiotemporal data processing system;spatiotemporal range queries","","","","33","","8 Aug 2019","","","IEEE","IEEE Conferences"
"Pairs (Re)Loaded: System Design & Benchmarking For Scalable Geospatial Applications","C. M. Albrecht; N. Bobroff; B. Elmegreen; M. Freitag; H. F. Hamann; I. Khabibrakhmanov; L. Klein; S. Lu; F. Marianno; J. Schmude; X. Shao; C. Siebenschuh; R. Zhang","IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598; IBM T.J. Watson Research Center, 1101 Kitchawan Road,Yorktown Heights,NY,USA,10598","2020 IEEE Latin American GRSS & ISPRS Remote Sensing Conference (LAGIRS)","12 Aug 2020","2020","","","488","493","In this paper we benchmark a previously introduced big data platform that enables the analysis of big data from remote sensing and other geospatial-temporal data. The platform, called IBM PAIRS Geoscope, has been developed by leveraging open source big data technologies (Hadoop/HBase) that are in principle scalable in storage and compute to hundreds of PetaBytes. Currently, PAIRS hosts multiple PetaBytes of curated and geospatial-temporally indexed data. It organizes all data with key-value combinations, performing analytics close to the data to minimize data movement.","","978-1-7281-4350-7","10.1109/LAGIRS48042.2020.9165675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165675","big data analytics;ML;AI;distributed geo-spatial data structures;Hadoop;HBase;Spark;GeoMesa;PAIRS Geoscope","Geospatial analysis;Remote sensing;Big Data;Sparks;Spatial resolution;Distributed databases;Earth","Big Data;data analysis;geophysics computing;parallel processing;public domain software;remote sensing","multiple PetaBytes;geospatial-temporally indexed data;data movement;system design;scalable geospatial applications;big data platform;remote sensing;geospatial-temporal data;IBM PAIRS Geoscope;open source big data technologies;benchmarking;key-value combinations","","","","9","","12 Aug 2020","","","IEEE","IEEE Conferences"
"HGrid: A Data Model for Large Geospatial Data Sets in HBase","D. Han; E. Stroulia","Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada; Dept. of Comput. Sci., Univ. of Alberta, Edmonton, AB, Canada","2013 IEEE Sixth International Conference on Cloud Computing","17 Feb 2014","2013","","","910","917","Cloud-based infrastructures enable applications to collect and analyze massive amounts of data. Whether these applications are newly developed or they are being evolved from existing RDBMS-based implementations, NoSQL databases offer an attractive platform with which to address this challenge. However, developers find it difficult to effectively manage data in NoSQL databases, because these platforms do not offer much support for data organization. Since poor data organization may abuse the features of the NoSQL database and result in unsatisfactory performance, developing a systematic method for NoSQL database data-schema design is a timely and important problem. In this paper, we focus on geospatial applications, as a family of big-data systems with distinct data types and usage patterns, in need of scalability. We propose the HGrid data model for HBase, based on a hybrid index structure, combining a quad-tree and a regular grid as primary and secondary indices correspondingly. We have comparatively evaluated the performance of HGrid with uniform and skewed data, against two other data models based on quad-tree and regular-grid indices. Our results demonstrate that HGrid scales well and supports efficient performance for range and k-nearest neighbor queries. Although this model does not outperform all its competitors in terms of query response time, it is more flexible for discontinuous and skewed space, and its index requires less space than the corresponding quad-tree and regular-grid indices, which makes its deployment possible with less resources. Through this study, we also formulate a set of guidelines on how to organize data for geospatial applications in HBase.","2159-6190","978-0-7695-5028-2","10.1109/CLOUD.2013.78","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6740243","Data Model;Data Schema;Geospatial Data Set;HBase;Coprocessor","Data models;Indexes;Tiles;Geospatial analysis;Coprocessors;Organizations","Big Data;cloud computing;data analysis;data models;database indexing;grid computing;quadtrees;query processing;relational databases;visual databases","data types;usage patterns;HGrid data model;hybrid index structure;quad-tree;regular grid;uniform data;skewed data;k-nearest neighbor queries;query response time;big-data systems;geospatial application;NoSQL database data-schema design;data organization;data management;RDBMS-based implementation;data analysis;data collection;cloud-based infrastructures;HBase;large geospatial data sets","","24","","15","","17 Feb 2014","","","IEEE","IEEE Conferences"
"Geospatial data storage based on HBase and MapReduce","F. Gao; P. Yue; Z. Wu; M. Zhang","School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; School of Remote Sensing and Information Engineering, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, 129 Luoyu Road, Wuhan, 430079, China","2017 6th International Conference on Agro-Geoinformatics","21 Sep 2017","2017","","","1","4","Traditional relational database management systems (RDBMS) have shown limitations in storing and analyzing big data. For example, a RDBMS is suitable for transactional operations yet not good at large-scale data analysis and processing, since a large-scale record scan or full table scan is often time-consuming. An efficient storage method for reading and writing big geospatial data is still needed. In this paper, we propose a geospatial data storage method based on the HBase and MapReduce. There are two key parts in our storage method. First, we present a MapReduce based refinement method for geospatial data access to improve I/O efficiency. Second, we design a structure of HBase tables to efficiently store and manage geospatial data. As a result, compared to traditional RDBMS, the storage model provides a better solution for high-performance writing and storage of geospatial data.","","978-1-5386-3884-2","10.1109/Agro-Geoinformatics.2017.8047040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8047040","Geospatial data;HBase;MapReduce","Geospatial analysis;Spatial databases;Memory;Data models;Computer architecture;Scalability","Big Data;data analysis;geographic information systems;parallel processing;relational databases","transactional operations;geospatial data storage method;MapReduce based refinement method;geospatial data access;HBase tables;high-performance writing;big data analysis;RDBMS;relational database management systems;big data storage;big geospatial data reading;big geospatial data writing;geospatial data management","","3","","23","","21 Sep 2017","","","IEEE","IEEE Conferences"
"The modeling of big traffic data processing based on cloud computing","D. Zhang; Y. Shou; J. Xu","School of Civil Engineering and Transportation, South China University of Technology Guangzhou, 510000 Guangdong provice China; School of Civil Engineering and Transportation, South China University of Technology Guangzhou, 510000 Guangdong provice China; School of Civil Engineering and Transportation, South China University of Technology Guangzhou, 510000 Guangdong provice China","2016 12th World Congress on Intelligent Control and Automation (WCICA)","29 Sep 2016","2016","","","2394","2399","The research progress of data acquisition technology and large data processing model has an important contribution to the development of urban traffic data. The control of urban transportation depends on the effective processing of real-time traffic observation data, which is usually the nature of data intensive. We study a large number of floating car data processing (FCD) traffic control in the cloud computing environment, to solve the problem of the new cloud computing technology to solve the problem of urban traffic control system. The experimental results show that the cloud computing technology such as HBase and MapReduce can provide big data flow calculation of substantial utility, such as scalability and real-time calculation performance can be accurately by our proposed data storage, management and parallel processing model. The applicability and practicability of cloud computing are evaluated for two typical data calculation tasks of urban traffic monitoring, namely FCD query, FCD map matching.","","978-1-4673-8414-8","10.1109/WCICA.2016.7578484","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7578484","","Cloud computing;Computers;Computational modeling;Geospatial analysis;Data models;Real-time systems;Roads","Big Data;cloud computing;data acquisition;parallel processing;traffic control;traffic engineering computing;transportation","big traffic data processing;data acquisition technology;urban traffic data;urban transportation;real-time traffic observation data processing;floating car data processing;FCD traffic control;cloud computing environment;cloud computing technology;urban traffic control system;HBase;MapReduce;data storage;data management;parallel processing;urban traffic monitoring;FCD query;FCD map matching","","1","","20","","29 Sep 2016","","","IEEE","IEEE Conferences"
"An adaptive hierarchical caching scheme for remotely sensed database","Y. Zhong; J. Han; J. Fang","Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China","2013 IEEE International Geoscience and Remote Sensing Symposium - IGARSS","27 Jan 2014","2013","","","604","607","With the rapid growth of users and data volume, the state-of-the-art remotely sensed databases have been posed on grand challenges by the online geospatial applications. They cannot provide low-latency retrieval of big remotely sensed data and fail to adapt for various access patterns from concurrent users. We propose an adaptive hierarchical caching scheme called RSCache for remotely sensed database to overcome the deficiencies. The big data are split into large amounts of small tiles and stored as key-value objects in NoSQL database with Hilbert order. Moreover, a distributed object placement model is designed for different access patterns with consideration of spatio-temporal proximity. Besides, RSCache forms a large memory cache by collecting the exclusive memory pools allocated by cluster nodes and provides global unified view of data manipulation from application's perspective. We implement RSCache middleware prototype on scale-out HBase cluster and confirm its effectiveness with comprehensive experiments in real applications.","2153-7003","978-1-4799-1114-1","10.1109/IGARSS.2013.6721229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6721229","distributed caching model;remotely sensed database;geospatial application;HBase;Cloud platform","Tiles;Geospatial analysis;Remote sensing;Distributed databases;Middleware;Data models","cache storage;database management systems;remote sensing;SQL","cluster nodes;RSCache;spatio-temporal proximity;distributed object placement model;remotely sensed database;adaptive hierarchical caching scheme","","1","","5","","27 Jan 2014","","","IEEE","IEEE Conferences"
"IBM PAIRS curated big data service for accelerated geospatial data analytics and discovery","S. Lu; X. Shao; M. Freitag; L. J. Klein; J. Renwick; F. J. Marianno; C. Albrecht; H. F. Hamann","IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY 10598, USA","2016 IEEE International Conference on Big Data (Big Data)","6 Feb 2017","2016","","","2672","2675","IBM's Physical Analytics Integrated Data Repository and Services (PAIRS) is a geospatial Big Data service. PAIRS contains a massive amount of curated geospatial (or more precisely spatio-temporal) data from a large number of public and private data resources, and also supports user contributed data layers. PAIRS offers an easy-to-use platform for both rapid assembly and retrieval of geospatial datasets or performing complex analytics, lowering time-to-discovery significantly by reducing the data curation and management burden. In this paper, we review recent progress with PAIRS and showcase a few exemplary analytical applications which the authors are able to build with relative ease leveraging this technology.","","978-1-4673-9005-7","10.1109/BigData.2016.7840910","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7840910","big data analytics;GIS;Hadoop & HBase for geospatial data;data management systems;machine learning","Satellites;Remote sensing;Agriculture;Geospatial analysis;Spatial resolution;Meteorology","Big Data;data analysis;information retrieval","IBM PAIRS curated big data service;accelerated geospatial data analytics;data discovery;IBM Physical Analytics Integrated Data Repository and Services;geospatial big data service;spatio-temporal data;public data resources;private data resources;user contributed data layer;geospatial dataset retrieval;time-to-discovery reduction;data curation;data management","","17","","33","","6 Feb 2017","","","IEEE","IEEE Conferences"
