Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Efficient Distributed Index for Geospatial Databases","Database and Expert Systems Applications","","","","10.1007/978-3-319-22849-5_3","Le Hong VanAtsuhiro Takasu","2015","http://link.springer.com/chapter/10.1007/978-3-319-22849-5_3","Chapter"
"NoSQL Overview and Performance Testing of HBase Over Multiple Nodes with MySQL","Emerging Technologies in Data Mining and Information Security","","","","10.1007/978-981-13-1498-8_24","Nabanita DasSwagata PaulBidyut Biman SarkarSatyajit Chakrabarti","2019","http://link.springer.com/chapter/10.1007/978-981-13-1498-8_24","Chapter"
"Storing and Querying Semi-structured Spatio-Temporal Data in HBase","Web-Age Information Management","","","","10.1007/978-3-319-47121-1_26","Chong ZhangXiaoying ChenXiaosheng FengBin Ge","2016","http://link.springer.com/chapter/10.1007/978-3-319-47121-1_26","Chapter"
"Lessons Learned with Laser Scanning Point Cloud Management in Hadoop HBase","Advanced Computing Strategies for Engineering","","","","10.1007/978-3-319-91635-4_13","Anh-Vu VoNikita KondaNeel ChauhanHarith AljumailyDebra F. Laefer","2018","http://link.springer.com/chapter/10.1007/978-3-319-91635-4_13","Chapter"
"Optimal Geospatial Query Placement in Cloud","Intelligent and Cloud Computing","","","","10.1007/978-981-15-5971-6_37","Jaydeep DasSourav Kanti AddyaSoumya K. GhoshRajkumar Buyya","2021","http://link.springer.com/chapter/10.1007/978-981-15-5971-6_37","Chapter"
"Cost Analysis for Big Geospatial Data Processing in Public Cloud Providers","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_12","João Bachiega Jr.Marco Sousa ReisAletéia P. F. AraújoMaristela Holanda","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_12","Chapter"
"Re-thinking Kernelized MLS Database Architectures in the Context of Cloud-Scale Data Stores","Engineering Secure Software and Systems","","","","10.1007/978-3-319-15618-7_7","Thuy D. NguyenMark GondreeJean KhosalimCynthia Irvine","2015","http://link.springer.com/chapter/10.1007/978-3-319-15618-7_7","Chapter"
"GeoWave: Utilizing Distributed Key-Value Stores for Multidimensional Data","Advances in Spatial and Temporal Databases","","","","10.1007/978-3-319-64367-0_6","Michael A. WhitbyRich FecherChris Bennight","2017","http://link.springer.com/chapter/10.1007/978-3-319-64367-0_6","Chapter"
"Security Mechanisms in NoSQL DBMS’s: A Technical Review","Smart Technologies, Systems and Applications","","","","10.1007/978-3-030-46785-2_18","Irving L. SolsolHéctor F. VargasGloria M. Díaz","2020","http://link.springer.com/chapter/10.1007/978-3-030-46785-2_18","Chapter"
"Providing Open Environmental Data—The Scalable and Web-Friendly Way","Advances and New Trends in Environmental Informatics","","","","10.1007/978-3-319-99654-7_2","Maria C. BorgesFrank PallasMarco Peise","2018","http://link.springer.com/chapter/10.1007/978-3-319-99654-7_2","Chapter"
"Performance Analysis on Voluntary Geographic Information Systems with Document-Based NoSQL Database","Developments and Advances in Intelligent Systems and Applications","","","","10.1007/978-3-319-58965-7_13","Daniel Cosme Mendonça MaiaBreno D. C. CamargosMaristela Holanda","2018","http://link.springer.com/chapter/10.1007/978-3-319-58965-7_13","Chapter"
"Benchmarking Database Ingestion Ability with Real-Time Big Astronomical Data","Benchmarking, Measuring, and Optimizing","","","","10.1007/978-3-030-49556-5_22","Qing TangChen YangXiaofeng MengZhihui Du","2020","http://link.springer.com/chapter/10.1007/978-3-030-49556-5_22","Chapter"
"NSM-Tree: Efficient Indexing on Top of NoSQL Databases","Algorithmic Aspects of Cloud Computing","","","","10.1007/978-3-319-57045-7_1","Ioannis KokotinisMarios KendeaNikolaos NodarakisAngeliki RaptiSpyros SioutasAthanasios K. TsakalidisDimitrios TsolisYannis Panagis","2017","http://link.springer.com/chapter/10.1007/978-3-319-57045-7_1","Chapter"
"Using Materialized View as a Service of Scallop4SC for Smart City Application Services","Soft Computing in Big Data Processing","","","","10.1007/978-3-319-05527-5_6","Shintaro YamamotoShinsuke MatsumotoSachio SaikiMasahide Nakamura","2014","http://link.springer.com/chapter/10.1007/978-3-319-05527-5_6","Chapter"
